No,Location,No Spaces,Exact Location,Tariff,Hours of Operation,Clr-Way,X_Value,Y_Value,Zone
936,Cherryfield Avenue,82 P&D/DP,Opposite no.1,€1.60,Mon-Sun 07.00-24.00,FALSE,316965,231399,Green
937,Norwood Park,16 P&D,Junct. Sandford Road,€1.60,Mon-Sun 07.00-24.00,FALSE,317069,231362,Green
955,Parkview Place,5 PD/Disc Parking,side of 14 St. Patricks Villas,€1.00,Mon-Fri  .07.00-19.00,FALSE,318184,233855,Orange
957,Kimmage Road,13 P/D,on inset opposite no.100A,€1.60,Mon-Sat 07.00-19.00,FALSE,314298,231399,Green
958,Palmerston Road,57 P&D,At side door 4B,€1.60,Mon-Fri 07.00-19.00,FALSE,316142,230697,Green
959,Palmerston Park,40 P&D,Junction of Palmerston Road,€1.60,Mon-Fri 07.00-19.00,FALSE,316128,230633,Green
960,Richview Ave,16 P&D,Junction Richmond Ave,€1.60,Mon-Fri 07.00-19.00,FALSE,316437,230606,Green
962,Sheriff Street,150 P&D total,,€2.70,Mon-Fri 07.00-19.00,FALSE,317694.5,234756.54,Red
963,Sheriff Street,150 P&D total,,€2.70,Mon-Fri 07.00-19.00,FALSE,317754,234740,Red
964,Sheriff Street,150 P&D total,,€2.70,Mon-Fri 07.00-19.00,FALSE,317480,234773,Red
965,Sheriff Street,150 P&D total,,€2.70,Mon-Fri 07.00-19.00,FALSE,317301,234789,Red
966,Connaght Street,30 P/D & PP,,€1.60,Mon-Fri 07.00-19.00,FALSE,314589.14,236132.51,Green
967,Murtagh Road,48 P&D / PP,,€1.60,Mon-Fri 07.00-19.00,FALSE,314102,234803,Green
968,Grangegorman Upper (Orchard Tce),51 P&D / PP,opposite no.63,€2.70,Mon-Sat 07.00-19.00,FALSE,314521,235482,Red
973,Main St Chapelizod,30 P&D /PP,o/s Mulberry House,€1.00,Mon-Sun 07.00-24.00,FALSE,310339,234477,Orange
975,Merlyn Rd,21 P&D / PP,Junction with Merrion Road,€1.60,Mon-Fri 07.00-19.00,FALSE,318815,231667,Green
976,Alma court,18 P&D / PP,,€2.70,Mon-Fri 07.00-19.00,FALSE,315993,232017,Red
977,St. Peters Close,9 P&D / PP,,€3.20,Mon-Fri 07.00-19.00,FALSE,315089,235635,Yellow
979,Sandford Gardens,13 P%D / PP,,€1.60,Mon-Sun 07.00-24.00,FALSE,314565,232915,Green
981,Rathdown Park,24P&D/DP,o/s no.6,€1.00,Mon-Fri 07.00-19.00,FALSE,314354,229802,Orange
982,Rathdown Ave,47 P&D/ DP,0/s no. 16,€1.00,Mon-Sun 07.00-24.00,FALSE,313949,229401,Orange
983,Shrewsbury Park,19 P&D / PP,Junction of Merrion Road,€1.60,Mon-Sat  07.00-19.00,FALSE,318618,231897,Green
984,Fitgerald St,45 P/D & PP,at no 16,€2.70,Mon-Sun 07.00-19.00,FALSE,315049,232141,Red
985,Wesley Place,6 P&D / PP,,€2.70,Mon-Sat 07.00-19.00,FALSE,314858,232592,Red
988,Glendalough Road,20 P/D &  PP,side of no 7 at lane end,€1.60,Mon-Sun 07.00-24.00,FALSE,315885,236699,Green
992,Sandymount Castle Drive,13 P&D / PP,,€1.00,Mon-Fri 07.00-19.00,FALSE,318963,232557,Orange
998,Ostman Place,42 P&D / PP,,€1.60,Mon-Fri 07.00-19.00,FALSE,314142,234960,Green
999,St..Agnes Road,18 P & D,Centra Car Park,€1.00,Mon-Sat 07.00-19.00,FALSE,312137,231390,Orange
1000,Lisle Road,9 spaces,outside Cosgrove Butchers,€1.00,Mon-Sat 07.00-19.00,FALSE,312196,231311,Orange
1001,St Agnes Road,7 spaces,Outside Tesco Express,€1.00,Mon-Sat 07.00-19.00,FALSE,312254,231293,Orange
1002,Fairview,6 Spaces,"At Footbridge, parkside",€1.00,Mon-Sat07.00-19.00,FALSE,317595,236219,Orange
1003,North Wall Quay,10 Spaces,Pole 26.Junc.with Castleforbes Rd,€2.70,Mon-Sat0.700-19.00,FALSE,317647,234429,Red
1004,Rathgar Avenue,20 Spaces,O/S Auto factors,€1.00,Mon-Fri 07.00-19.00,FALSE,315026,230540,Orange
1006,Botanic Ave,45 P/D  + 2 disabled bays,0/s no.88,€1.60,Mon-Sun 07.00-24.00,FALSE,315828.92,236756.08,Green
1007,Inchicore Road,33 Spaces,Outside no 117,€1.00,Mon-Sat 07.00-19.00,FALSE,312159,233690,Orange
1008,Clontarf Road Car Park,34 Spaces,,€0.60,Mon-Fri  08.00-18.00,FALSE,320472,235720,Blue
1009,Addison Road,50 P&D/DP,,€1.00,Mon-Sun 07.00-24.00,FALSE,317321.43,236078.1,Orange
1013,St. Albans Park,70 P & D/DP total,No. 86,€1.00,Mon-Fri 07.00-19.00,FALSE,319485,231414,Orange
1014,Margaret Place,28 P&D/PP,,€2.70,Mon - Sun 7.00 - 24.00,FALSE,317804,233366,Red
1016,Oxmantown Road,180 Spaces,,€1.60,Mon-Fri  07.00-19.00,FALSE,313712.36,235143.45,Green
1017,Oxmantown Rd/Cowper Street,177 Spaces,,€1.60,Mon-Fri  07.00-19.00,FALSE,313839.43,235056.94,Green
1018,Niall Street/Moira Road,10 Spaces,,€1.60,Mon-Fri  07.00-19.00,FALSE,313960.12,234988.77,Green
1019,Halliday Road/Oxmantown Road,21 P&D / PP,,€1.60,Mon-Fri 07.00-19.00,FALSE,313993.91,234908.63,Green
1020,Mount Prospect Lawns,35 Spaces,opposite no. 27,€1.00,Mon -Sun 07.00-24.00,FALSE,320488.8,236729.28,Orange
1021,Palmerston Villas,23 Spaces,,€1.60,Mon-Fri 07.00-19.00,FALSE,315764.3,230655.98,Green
1025,Lindsay Road,170 P&D / PP,side of 73 Lindsay Road,€1.60,Mon-Sun 07.00-24.00,FALSE,315459.38,236408.23,Green
1026,Lindsay Road/Gartan Ave,170 P&D / PP,0/s 9 Gartan Ave,€1.60,Mon-Sun 07.00-24.00,FALSE,315554.22,236385.13,Green
1027,Rathmines Road Upper,43P&D/DP,,€1.60,Mon-Sat 07.00-19.00,FALSE,315653.46,231410.15,Green
1028,Belmont Villas,16 Spaces,,€2.70,Mon-Sat 07.00-24.00,FALSE,317318.04,231475.23,Red
1029,Newgrove Avenue,21 P&D / PP,,€1.00,,FALSE,319129.99,232737.19,Orange
1030,Grosvenor Square,50 North Side Only,opp 27 Grosvenor Sq,€2.70,Mon-Fri 08.00-18.30,FALSE,315128.87,231882.85,Red
1031,Temple Cottages,20 Spaces,,€3.20,Mon-Sun 07.00-24.00,FALSE,315091.03,235171.8,Yellow
1032,Prospect Avenue,48 P&D / DP,Opp 66 Prospect Ave,€1.00,Mon-Sat 07.00-19.00,FALSE,315116.57,236689.53,Orange
1033,Emmet Road,155 Spaces,opp Croughs Pub,€1.00,Mon-Fri 07.00-19.00,FALSE,312036.78,233457.46,Orange
1035,Milltown Road,7 P&D,outside Alexandra College,€1.00,Mon-Sat 11.00 - 16.00,FALSE,316789.34,230266.77,orange
1036,Enniskerry Road,30 Spaces,,€1.60,Mon-Sun 07.00 - 24.00,FALSE,315098.91,236190.44,Green
1037,Botanic Avenue,43 Spaces,outside no 26,€1.60,Mon-Sun 07.00-24.00,FALSE,316038.18,236681.97,Green
1038,Albert College Drive,42 Spaces,side of church,€1.00,Mon-Sat 11.00-17.00,FALSE,315510.84,238850.3,Orange
1039,Morehampton Terrace,13 P&D / PP,wall near no 40,€2.70,Mon-Sat 07.00 -19.00,FALSE,317197.82,231955.72,Red
1041,Emorville Avenue,55 Spaces,side of no 64 SCRd,€2.70,Mon-Fri 08.00-18.30,FALSE,315138.61,232721.05,Red
1043,Finn Street,38 spaces,Junct. Finn St/Moira St,€1.60,Mon-Fri 07.00-19.00,FALSE,313909.04,234935.61,Green
1044,Carnew Street,46 Spaces,48 Carnew Street,€1.60,Mon-Fri 07.00-19.00,FALSE,313769.36,235163.75,Green
1047,Iona Road,98 spaces total this side Iona Rd. 10sps Gartan Av,at number 64,€1.60,Mon-Sun 07.00-24.00,FALSE,315450.32,236465.74,Green
1048,Iona Road,82 sp total this side Iona,at number 33,€1.60,Mon-Sun 07.00-24.00,FALSE,315421.02,236485.03,Green
1050,Saint Laurence Road Chapelizod,24 Spaces,,€1.00,Mon-Sun 07.00-24.00,FALSE,310256.42,234233.07,orange
1054,St. Agnes Road,4 Spaces,outside Boyle Sports,€1.00,Mon-Sat 07.00-19.00,FALSE,312294.63,231275.75,Orange
1055,Iona Crescent,60 P&D / DP,Junction Iona Drive,€1.60,Mon-Sun 07.00-24.00,FALSE,,,Green
1057,Iona Crescent,60 P&D / DP,,€1.60,Mon-Sun 07.00-24.00,FALSE,315585.32,236634.62,Green
1058,Charlemont Mall,70 P&D / DP (Total),Near no 20,€2.70,Mon-Fri 08.00-18.30,FALSE,315846.8475,232507.0963,Red
1060,May Street,26 P&D/DP,corner of Russell Avenue and May Street,€1.60,Mon-Fri 07.00-19.00,FALSE,316149.8,236002.21,Green
1062,Marlborough Road,64 P&D/ DP,Opposite 47,€2.70,Mon - Fri 08.00 - 18.30,FALSE,317124.57,231787.51,Red
1063,Coultry Road,14 P&D,Image Barbers,€1.00,Mon - Sat 07.00 - 19.00,FALSE,315634.95,239836.52,Orange
1067,Adelaide Road,71 P&D + 14 DP (Total),At Hatch Place,€3.20,Mon-Sat 07.00-19.00,FALSE,316121.3661,232780.1773,Yellow
1068,Arbour Hill,80 P&D/DP,,€1.60,Mon - Sat 07.00-19.00,FALSE,314140.77,234601.8,Green
1070,Clonskeagh Road,44 P&D,Clonskeagh House Car Park,€1.00,Mon-Fri 07.00-19.00,FALSE,317437.47,230718.7,Orange
1072,Ulster Street,39 P&D / DP,replaced meter 7987 31/7/2014,€1.60,Mon-Sun 07.00-24.00,FALSE,314869.5984,236177.4929,Green
1073,Fortfield Terrace,52 P&D/DP,junction of Fortfield Gardends,€1.60,Mon-Fri 07.00-19.00,FALSE,315879.53,230771.64,Green
1075,Millmount Place,31 P7D/DP,,€1.00,Mon - Fri 07.00 - 19.00,FALSE,316130.44,236796.99,Orange
1076,Gilbert Road,16 P&D/DP,houses side of street,€1.60,Mon-Sat 07.00-24.00,FALSE,314685.7,232851.29,Green
1077,Gilford Park,60 P&D/DP,,€1.00,Mon-Fri 07.00-19.00,FALSE,318845.55,232382.63,Orange
1079,Avondale Road,20 P&D,Opposite Number 20,€1.60,Mon-Sat 07.00-19.00,FALSE,314834,235685,Green
1080,"Oakley Park, Dublin 4",4 spaces P&D/DP,,€2.70,Mon-Sat 07.00-19.00,FALSE,316256.53,231524.96,Red
1082,South Dock Road,9 P&D,,€1.60,Mon-Sat 07.00-19.00,FALSE,317856.37,233852.86,Green
1086,Pimlico Cottages,5 P&D/DP,,€1.60,Mon-Sat 07.00 - 24.00,FALSE,314530.42,233568,Green
1088,York Avenue,12 P&D/DP,,€1.60,Mon-Sat 07.00 - 24.00,FALSE,315511.6,231177.69,Green
1089,Dalcassian Downs,50 P&D/DP,corner of green,€1.00,Mon - Sun 07.00 - 24.00,FALSE,314978.34,236505.2,Orange
1091,Millbourne Avenue,20 P&D/DP,,€1.00,Mon-Fri 0700-1900,FALSE,316044.5,236887.63,Orange
1092,Broadstone(Grand Canal),28 P&D,,€3.20,Mon-Sat 0700-1900,FALSE,315041.43,235366.67,Yellow
1093,Melrose Avenue,48 P&D/DP + 2 disabled bays,,€1.00,Mon-Sat 07.00-24.00,FALSE,317204.52,236381.3,Orange
1094,Church Ave (Drumcondra),11 P&D/DP,,€1.00,Mon -Sat 07.00-19.00,FALSE,316554.17,236880.86,Orange
1095,Church Avenue South,,,€1.60,Mon-Fri 07.00-19.00,FALSE,313692.01,233111.83,Green
1096,Chapelizod Road(Mullingar Trc),,,€1.00,Mon - Fri 07.00-24.00,FALSE,310456.94,234359.47,Orange
1097,Westfield Road,75 P&D / DP,opposite No 4,€1.60,Mon-Fri.07.00-24.00,FALSE,314362.27,231379.23,Green
1098,Westfield Road,75 P&D / DP,opposite No 49,€1.60,Mon-Fri.07.00-24.00,FALSE,314509.97,231182.54,Green
1099,Waverly Avenue,43 P&D /DP,side of 81 Philipsburgh Avenue,€1.00,Mon-Sat 07.00-24.00,FALSE,317208.43,236447.73,Orange
1100,Richelieu Park,26 P&D / DP,,€1.00,Mon-Fri 07.00-19.00,FALSE,319373.71,231797.71,Orange
1101,Burgh Quay,3 P&D (1 Disabled),,€3.20,Mon - Sat 07.00 - 19.00,FALSE,316060.06,234393.41,Yellow
1102,Rehoboth Place/Avenue,38 P&D/DP,Beside No. 40,€1.60,Mon-Sun 07.00-24.00,FALSE,314032.98,232785.19,Green
1103,Portland Street North,55 P&D/DP + 1 Disabled Bay,,€1.60,Mon-Sat 07.00-19.00,FALSE,316152.7,235768.92,Green
1104,Mabel Street (Fitzroy Ave),114 P&D/DP + 2 Disables Bays,,€1.60,Mon-Fri 07.00-19.00,FALSE,316275.52,236036.36,Green
1105,Russell Street (St Patrick's Tce),18 P&D / DP,11 St Patricks Tce,€1.60,Mon-Fri 07.00-19.00,FALSE,316303.86,235772.77,Green
1106,Inverness Road,47 P&D/ DP,,€1.00,Mon-Sat 07.00-24.00,FALSE,317083.5,236480.82,orange
1107,Rathdown Ave,47 P&D/ DP,,€1.00,Mon-Sun 07.00-24.00,FALSE,314211.97,229622.5,Orange
1108,Turvey Avenue,40 P&D/ DP,,€1.00,Mon-Sun 07.00-24.00,FALSE,312520.57,233590.56,Orange
1109,Lomond Avenue,28 P&D/ DP + 2 disabled bays,,€1.00,Mon-Sat 07.00-24.00,FALSE,317207.99,236523.73,Orange
1110,Cabra Road,56 P&D /DP +2 Disabled bays,,€1.60,Mon-Sun 07.00-24.00,FALSE,314422.75,235878.52,Green
1111,North Circular Road,25 P&D/ DP,outside no 79,€1.60,Mon-Sun 07.00-24.00,FALSE,313652.18,235188.87,Green
1112,Susanville Road,49 P&D/ DP + 1 disabled bay,outside no 37,€1.60,Mon-Sun 07.00-24.00,FALSE,316544.6,236122.31,Green
1113,Western Way,25P&D /DP,,€3.20,Mon-Fri 08.00-18.30,FALSE,315267.37,235245.59,Yellow
1114,Shandon Crescent,35 P&D/DP + 1 disabled bay,opp no 2,€1.60,Mon-Sun 07.00-24.00,FALSE,314502.51,236192.82,Green
1115,Shandon Crescent,35 P&D/DP + 1 disabled bay,side of no 95 shandon park,€1.60,Mon-Sun 07.00-24.00,FALSE,314491.44,236405.09,Green
1116,Shandon Park,72 P&D/DP + 2 disabled bay,side of no 32 Shandon Road,€1.60,Mon-Sun 07.00-24.00,FALSE,314811.39,236295.63,Green
1117,Shandon Drive,37 P&D/DP,side of no 8 Shandon Road,€1.60,Mon-Sun 07.00-24.00,FALSE,314777.71,236198.14,Green
1118,Home Farm Raod,77P&D + 3 Disabled bays,"outside no 43, close to shops",€1.00,Mon-Sun.07.00-19.00,FALSE,316162.33,237398.63,Orange
1119,Achill Road / Clare Park Villas,57 P&D,side of 31 Home Farm Road,€1.00,Mon-Sun.07.00-19.00,FALSE,316213.08,237398.66,Orange
1120,Home Farm Road,77P&D + 3 Disabled bays,side 47 Drumcondra Road,€1.00,Mon-Sun 07.00-19.00,FALSE,316362.85,237328.64,Orange
1121,St Jame's Terrace,,,€1.00,Mon-Sun 07.00-24.00,FALSE,313883.92,232758.96,Orange
1122,Haroldville Avenue,,opp. No 33,€1.60,Mon-Sat 07.00-24.00,FALSE,313755.82,232986.48,Green
1124,Wellpark Avenue,34 P&D/DP,,€1.00,Mon-Sun 07.00-19.00,FALSE,316390.86,237440.66,Orange
1125,St Josephs Terace,,,€1.00,Mon-Sat 07.00-24.00,FALSE,317228.03,236260.61,Orange
1126,Kenilworth Lane West,,outside no 20,€2.70,Mon-Fri 07.00-19.00,FALSE,314807.31,231273.94,Red
1127,Charlemont Road,,opp no.26,€1.60,Mon-Sun 07.00-24.00,FALSE,318155.06,236540.36,Green
1128,Charlemont Road,,at junction with Victoria Villas,€1.60,Mon-Sun 07.00-24.00,FALSE,318096.16,236628.36,Green
1129,Prospect Square,,Between no 9 / 10,€1.00,Mon-Sun 07.00-24.00,FALSE,315084.59,236792.42,Orange
1130,Hollybrook Road,52 P&D,No 51 Corner of Clontarf Rd,€1.00,Mon-Sun 07.00-24.00,FALSE,318635,236225,Orange
1131,St David's Terrace,,,,,FALSE,0,0,
1132,Donore Road,,,,,FALSE,0,0,
1214,Cathal Brugha Street,,Church of Ireland,€3.20,clearway due to Luas works 20/8/2014,TRUE,315922.4535,234949.334,Yellow
1236,Hatch Street Lower,49 P&D + 3 DP (Total),No 12,€3.20,Mon-Sat 07.00-19.00,FALSE,316186.352,232921.4528,Yellow
1337,Hatch Street Lower,49 P&D + 3 DP (Total),Near no 23,€3.20,Mon-Sat 07.00-19.00,FALSE,316096.0538,232903.9939,Yellow
1359,Hatch Street Lower,49 P&D + 3 DP (Total),Opp Earlsfort Centre,€3.20,Mon-Sat 07.00-19.00,FALSE,,,Yellow
3182,Herbert Street,82 P&D + 1 DP (Total),Near no 30,€3.20,Mon-Sat 07.00-19.00,FALSE,316987.0527,233238.6592,Yellow
3193,Herbert Street,82 P&D + 1 DP (Total),Corner of Mount St Cres,€3.20,Mon-Sat 07.00-19.00,FALSE,317003.1682,233235.9319,Yellow
5024,Fenian Street,38 P&D + 9 DP (Total),Opp Dargan Hse,€3.20,Mon-Sat 07.00-19.00,FALSE,316746.6551,233779.6481,Yellow
5029,Hanover Quay,22 P&D / DP,Opposite Boat House 9,€1.60,Mon-Sat 07.00-19.00,FALSE,,,Green
5052,Mount Street Upper,74 P&D + 4 DP (Total),No 37-38,€3.20,Mon-Sat 07.00-19.00,FALSE,316985.0099,233290.6129,Yellow
5060,St. Albans Park,70 P & D/DP (Total),,€1.00,Mon-Fri  07.00-19.00,FALSE,319337,231651,Orange
5063,Shelbourne Road,16 P&D + 34 DP (Total),,€3.20,Mon-Sat 07.00-19.00,FALSE,,,Yellow
5078,Baggot Street Lower,97 P&D + 4 DP (Total),O2 House,€3.20,Mon-Sat 07.00-19.00,FALSE,316876.2031,233021.4263,Yellow
5079,Fitzwilliam Street Upper,86 P&D + 7 DP (Total),No 8,€3.20,Mon-Fri 07.00-19.00,FALSE,316635.9878,233183.5434,Yellow
5080,Fitzwilliam Square East,61 P&D (Total),No 10 / 11,€3.20,Mon-Fri 07.00-19.00,FALSE,316570.2951,233025.6554,Yellow
5081,Pembroke Street Lower,30 P&D,,€3.20,Mon-Fri 07.00-19.00,FALSE,316433,233167,Yellow
5082,Earlsfort Terrace,60 P&D / DP(Total),Near Number 23,€3.20,Mon-Sat 07.00-19.00,FALSE,316043.6228,232804.691,Yellow
5085,Elmpark Avenue,32 P&D / DP,Near corner of Sandford Rd,€2.70,Mon-Sat 07.00-24.00,FALSE,316387.9622,231881.3465,Red
5086,Brighton Square,178 P&D / DP (Total),At Park,€1.00,Mon-Sat 07.00-24.00,FALSE,314710.343,230761.85,Orange
5087,Mountjoy Square West,13 P&D,"Opp 59, eastside, nth of Mountjoy Sq Sth",€2.70,Mon-Sat 07.00-19.00,FALSE,316013.499,235390.7209,Red
5102,Lurgan Street,8 P&D / DP,At Number 2,€3.20,Mon-Sat 07.00-24.00,FALSE,315122.1196,234743.2972,Yellow
5103,Greek Street,23 P&D (Total),"At flats, east side, north of Chancery Street",€3.20,Mon-Sat 07.00-19.00,FALSE,315065.1371,234371.1399,Yellow
5104,Greek Street,23 P&D (Total),"At flats, west side, north of Chancery Street",€3.20,Mon-Sat 07.00-19.00,FALSE,315054.3571,234361.0651,Yellow
5105,Strand Street Little,6 P&D + 6 DP,Opp Alnamara,€3.20,Mon-Sat 07.00-19.00,FALSE,315373.0168,234288.3514,Yellow
5106,Fishamble Street,11 P&D (Total),Darkey Kellys Pub,€3.20,Mon-Sat 07.00-19.00,FALSE,315272.2929,234011.0344,Yellow
5108,Ship Street Little,4 P&D,Off Werburgh Street,€3.20,Mon-Sat 07.00-19.00,FALSE,315349.0555,233828.935,Yellow
5110,Dillon Place South,9 P&D,Off John Dillon St,€3.20,Mon-Sun 07.00-24.00,FALSE,315077.6114,233675.008,Yellow
5111,Ross Road,29 P&D / DP,At Number 6,€3.20,Mon-Sat 07.00-19.00,FALSE,315185.4004,233771.2784,Yellow
5113,Bride Street,45 P&D,67-69,€3.20,Mon-Sat 07.00-19.00,FALSE,315315.0705,233498.7494,Yellow
5114,New Bride Street,20 P&D / DP (Total),At Number 5,€3.20,Mon-Sun 07.00-24.00,FALSE,315344.0189,233247.9934,Yellow
5116,Adelaide Road,71 P&D + 14 DP (Total),No 69,€3.20,Mon-Sat 07.00-19.00,FALSE,316001.589,232785.7806,Yellow
5120,Fitzwilliam Street Lower,63 P&D/DP(Total),No 6-7,€3.20,Mon-Sat 07.00-19.00,FALSE,316709.6904,233313.4706,Yellow
5122,Fenian Street,38 P&D + 9 DP (Total),Opposite The Ginger Man,€3.20,Mon-Sat 07.00-19.00,FALSE,316629,233791,Yellow
5123,Fenian Street,38 P&D + 9 DP (Total),Opp 9-10,€3.20,Mon-Sat 07.00-19.00,FALSE,316838.0192,233765.8187,Yellow
5124,Prince's Street South,20 P&D / DP,At Number 3,€2.70,Mon-Sat 07.00-19.00,FALSE,316585.4368,234348.059,Red
5125,Grattan Court East,8 P&D,Jct Mount Street Lower,€3.20,Mon-Sat 07.00-19.00,FALSE,317061,233458,Yellow
5126,Clanwilliam Place,10 P&D / DP (Total),Marine House,€3.20,Mon-Fri 08.00-18.30,FALSE,317299.6644,233424.9136,Yellow
5127,Baggot Street Upper,16 P&D (Total),Fás Training,€3.20,Mon-Sat 07.00-19.00,FALSE,317005.149,232879.8664,Yellow
5128,Baggot Street Upper,16 P&D (Total),Baggot Street Hospital,€3.20,Mon-Sat 07.00-19.00,FALSE,317024.3733,232894.3187,Yellow
5129,Pembroke Road,103 P&D / DP (Total),Wellington Road,€3.20,Mon-Sat 07.00-19.00,FALSE,317288.4679,232777.6099,Yellow
5130,Pembroke Road,103 P&D / DP (Total),Number 78-80,€3.20,Mon-Sat 07.00-19.00,FALSE,317397.5416,232777.4735,Yellow
5131,Pembroke Road,103 P&D / DP (Total),Corner of Raglan Road,€3.20,Mon-Sat 07.00-19.00,FALSE,317475.1202,232748.7053,Yellow
5132,Dartmouth Road,51 P&D / DP (Total),Opposite Dartmouth Square,€3.20,Mon-Fri 08.00-18.30,FALSE,316377.5304,232501.3979,Yellow
5134,South Circular Road,20 P&D / PP,,€1.60,Mon-Sat 07.00-19.00,FALSE,313083,233388,Green
5136,Lansdowne Road,49 P&D / DP (Total),At Number 14,€3.20,Mon-Fri 08.00-18.30,FALSE,317681,232840,Yellow
5139,Denmark Street Great,30 P&D (Total),Barry's Hotel,€3.20,Mon-Sat 07.00-19.00,FALSE,315728.2471,235255.2087,Yellow
5142,Frederick Street North,23 P&D (Total),Opposite Walton's Music Store,€3.20,Mon-Sat 07.00-19.00,FALSE,315635,235233,Yellow
5146,Halston Street,13 Spaces,,€3.20,Mon-Sat 07.00-19.00,FALSE,315168.59,234638.24,Yellow
5147,Anne Street North,14 P&D / DP,Off North King Street,€3.20,Mon-Sun07.00-24.00,FALSE,315099.3437,234586.2069,Yellow
5148,Stirrup Lane,17 P&D / DP,Church Street To Beresford Street,€3.20,Mon-Sun 07.00-24.00,FALSE,314988.4852,234660.3019,Yellow
5149,Beresford Street,12 P&D / DP,"Opposite Number 53, East-Side, North of Mary's Lane",€3.20,Mon-Sat 07.00-19.00,FALSE,315037.7639,234508.1708,Yellow
5150,Charles Street West,16 spaces on Charles St. West.,Corner of Charles' St West,€3.20,Mon-Fri 08.00-18.30,FALSE,315155.3467,234324.2974,Yellow
5153,Merchant's Quay,38 P&D (Total),"Liffyeside, Opposite meter 7022",€3.20,Mon-Sat 07.00-19.00,FALSE,314920.9114,234144.3246,Yellow
5154,Cornmarket Street,7 P&D,MRCB,€3.20,Mon-Sat 07.00-19.00,FALSE,314909,233928,Yellow
5155,High Street,9 P&D,At Church,€3.20,Mon-Sat 07.00-19.00,FALSE,315047.7433,233926.4114,Yellow
5156,Bull Alley Street,7 P&D,Patrick's Park,€3.20,Mon-Sat 07.00-19.00,FALSE,315169.8661,233625.2348,Yellow
5157,Whitefriar Place,19 P&D / DP,"Exact middle of the street, south-side",€3.20,Mon-Sat 07.00-19.00,FALSE,315512,233531,Yellow
5158,Camden Street,25 P&D (Total),At Number 11,€3.20,Mon-Sat 07.00-19.00,FALSE,315619.3247,233094.2588,Yellow
5159,Camden Street,25 P&D (Total),At West Coast Coffee,€3.20,Mon-Sat 07.00-19.00,FALSE,315622.5077,233044.1268,Yellow
5160,Camden Street,25 P&D (Total),No 72,€3.20,Mon-Sat 07.00-19.00,FALSE,315602.9758,233010.9224,Yellow
5161,Hatch Street Upper,57 P&D (Total),Near College of Music,€3.20,Mon-Sat 07.00-19.00,FALSE,315846.8131,232906.5977,Yellow
5165,Dartmouth Road,51 P&D / DP (Total),Opp no 67,€3.20,Mon-Fri 08.00-18.30,FALSE,316230.1991,232458.436,Yellow
5166,Dartmouth Road,51 P&D / DP,Opposite no 67,€3.20,Mon-Sat 07.00-19.00,FALSE,316230.1991,232458.436,Yellow
5167,Leeson Street Upper,36 P&D / DP,No 134,€3.20,Mon-Fri 07.00-19.00,FALSE,316519.5166,232548.7605,Yellow
5169,Fitzwilliam Lane,5 P&D,Redmonds Off Licence,€3.20,Mon-Sat 07.00-19.00,FALSE,316495.7841,233434.0057,Yellow
5170,James' Street East,45 P&D (Total),Near Pl no 5,€3.20,Mon-Sat 07.00-19.00,FALSE,316816.54,233310.33,Yellow
5171,James' Street East,45 P&D (Total),Opp Pl no 3,€3.20,Mon-Sat 07.00-19.00,FALSE,316798.3869,233297.5893,Yellow
5172,Fitzwilliam Place,94 P&D + 7 DP (Total),Opp no 3,€3.20,Mon-Sat 07.00-19.00,FALSE,316518.7491,232971.8949,Yellow
5173,Wilton Place,12 P&D + 60 DP (Total),Opp Wilton Park House Entrance,€3.20,Mon-Sat 07.00-19.00,FALSE,316686,232923,Yellow
5174,Cumberland Road,17 P&D + 16 DP (Total),Fitzwilton House,€3.20,Mon-Sat 07.00-19.00,FALSE,316604.6353,232859.6716,Yellow
5176,Burlington Road,144 P&D / DP (Total),North of Westside Private Road,€3.20,Mon-Fri 08.00-18.30,FALSE,317009.0485,232651.9295,Yellow
5178,Shelbourne Road,16 P&D + 34 DP (Total),Opposite Iona,€3.20,Mon-Sat 07.00-19.00,FALSE,,,Yellow
5179,Shelbourne Road,16 P&D + 34 DP (Total),At Number 234,€3.20,Mon-Sat 07.00-19.00,FALSE,317861.893,232857.9097,Yellow
5180,Shelbourne Road,16 P&D + 34 DP (Total),No 36,€3.20,Mon-Sat 07.00-24.00,FALSE,317758.0984,233188.2623,Yellow
5181,Shelbourne Road,16 P&D + 34 DP (Total),At Number 8,€3.20,Mon-Sun 07.00-24.00,FALSE,317691.8714,233268.6031,Yellow
5182,Mount Street Lower,38 P&D + 1 DP (Total),No 33-41,€3.20,Mon-Sat 07.00-19.00,FALSE,317102.6233,233416.7486,Yellow
5184,Mount Street Lower,38 P&D + 1 DP (Total),No 12-14,€3.20,Mon-Sat 07.00-19.00,FALSE,316961.6414,233491.9179,Yellow
5185,Albert Place East,24 P&D / DP,Off Grand Canal Street,€3.20,Mon-Sun 07.00-24.00,FALSE,317123.6598,233583.4933,Yellow
5186,Sandwith Street,43 P&D / DP,At Apartments,€3.20,Mon-Fri 08.00-18.30,FALSE,316812.117,234102.1813,Yellow
5187,Luke Street,6 P&Dpea,At Light-Stand 68,€3.20,Mon-Sat 07.00-19.00,FALSE,316338.2713,234400.7451,Yellow
5188,Townsend Street,27 P&D + 1 DP (Total),Dept of Social Community,€3.20,Mon-Sat 07.00-19.00,FALSE,316361.4107,234252.2841,Yellow
