No,Location,No Spaces,Exact Location,Tariff,Hours of Operation,Clr-Way,X_Value,Y_Value,Zone
642,Hastings Street,41 P&D,At Number 7,€2.70,Mon-Sat 07.00-24.00,FALSE,317824.4247,233761.3585,Red
645,South Circular Road,17 P&D / DP,Outside number 448,€1.60,Mon-Sat 07.00-19.00,FALSE,313762,232944,Green
646,Grosvenor Road,128 P&D / DP (Total),Opposite Number 34,€1.60,Mon-Fri 08.00-18.30,FALSE,315299.6461,231066.7301,Green
650,Mayfield Road,17 P&D / DP,At South Circular Road,€1.60,Mon-Sat 07.00-19.00,FALSE,313164,233369,Green
651,Mountshannon Road,68 P&D / DP,"Opposite number 5, corner of SCR",€1.60,Mon-Sat 07.00-19.00,FALSE,313308,233312,Green
652,Emmet Road,155 P&D / DP (Total),At One Euro Plaza & Junction Spa Road,€1.00,Mon-Sat 07.00-19.00,FALSE,311980,233417,Orange
655,Merrion Road,11 P&D / DP,At Number 180,€1.60,Mon-Sat 07.00-19.00,FALSE,319211.6294,231279.8745,Green
656,Lansdowne Road,49 P&D / DP (Total),Outside Number 53,€2.70,Mon-Fri 08.00-18.30,FALSE,317915,232950,Red
659,Sydenham Road,25 P&D / DP,Opposite Merrion Hall,€2.70,Mon-Sun 07.00-24.00,FALSE,318297.4723,232269.5174,Red
660,Richmond Avenue,39 P&D / DP,At Number 2,€1.60,Mon-Fri 08.00-18.30,FALSE,316989.7051,236217.9054,Green
664,Shrewsbury Road,133 P&D / DP (Total),At Number 18,€1.60,Mon-Fri 07.00-19.00,FALSE,318444.7404,231656.2795,Green
665,Rathmore Villas,17 P&D / DP,Terenure,€1.00,Mon-Sat 07.00-19.00,FALSE,314516,230343,Orange
667,Brookfield Road,30 P&D / DP,At number 41,€1.60,Mon-Sun 07.00-24.00,FALSE,313227,233456,Green
670,Cabra Park,127 P&D / DP (Total),No 47 St Peters Road,€1.60,Mon-Sat 07.00-19.00,FALSE,314602.2699,236006.1901,Green
671,Cabra Park,127 P&D / DP (Total),No 114 St. Peter's Road,€1.60,Mon-Sat 07.00-19.00,FALSE,314683.5488,235929.3696,Green
672,Moyne Road,154 P&D / DP (Total),Ranelagh,€1.60,Mon-Sat 07.00-19.00,FALSE,316335.8025,231255.1291,Green
674,Grosvenor Road,128 P&D / DP (Total),At the school,€1.60,Mon-Fri 08.00-18.30,FALSE,315239.0265,231264.914,Green
675,Vernon Avenue,34 P&D + 20 DP,At Number 9,€1.00,Mon-Sat 07.00-19.00,FALSE,320161.5216,235868.6724,Orange
677,Mulberry Lane (Donnybrook),5 P&D / DP,Behind garage at Victoria Avenue,€2.70,Mon-Fri 08.00-18.30,FALSE,317644.551,231791.9385,Red
680,Lansdowne Park,41 P&D / DP,At Number 45,€3.20,Mon-Fri 08.00-18.30,FALSE,317651.5469,232925.8137,Yellow
681,Ringsend road,23 P&D / DP,At Bus Station,€2.70,Mon-Sat 07.00-19.00,FALSE,317709.9121,233831.1952,Red
687,Mountain View Road,95 P&D / DP (Total),At Side of Community Centre,€1.60,Mon-Sat 07.00-19.00,FALSE,316569.2843,231235.7124,Green
688,Ferrard Road,16 P&D / DP,Off Rathgar Rd,€1.00,Mon-Sat 07.00-19.00,FALSE,314712.7814,230331.066,Orange
694,Chester Road,27 P&D / DP,At Mount Pleasant Avenue,€2.70,Mon-Sat 07.00-19.00,FALSE,316131.8393,231932.4826,Red
698,Windsor Road,97 P&D / DP,Harolds Cross,€1.60,Mon-Sat 07.00-19.00,FALSE,316334.944,231123.0774,Green
701,Clanbrassil Street Upper,14 P&D / DP,Outside no 12,€2.70,Mon-Sat 07.00-19.00,FALSE,314950,232599,Red
704,Swords Road,5 P&D,At Iveragh Road Junction,€1.00,Mon-Sat 07.00-19.00,FALSE,316792,238145,Orange
706,Raheny Village,19 P&D + 16 DP (Total),At SuperValu,€0.60,Mon-Sat 07.00-19.00,FALSE,321294,238178,Blue
707,Auburn Street,30 P&D / DP,At No. 13,€3.20,Mon-Fri 08.00-18.30,FALSE,315128.1297,235386.0112,Yellow
712,St. Assam's Road West,8 P&D,Opposite BOI Car Park,€0.60,Mon-Fri 08.00-19.00,FALSE,321690,238267,Blue
713,Garville Mews,6 P&D,Junction Rathgar Road,€1.00,Mon-Fri 08.00-18.30,FALSE,315196,230764,Orange
717,Crane Street,3 P&D,At Rainsford Street junction,€2.70,Mon-Sat 07.00-19.00,FALSE,314350,233811,Red
718,Raheny Village,19 P&D,Opposite Ladbrokes & 'The Inn',€0.60,Mon-Sat 07.00-19.00,FALSE,321540,238187,Blue
723,Drumcondra Road Upper,10 P&D (Total),"At Number 108, Hession Hairdresser's",€1.00,Mon-Sat 07.00-19.00,FALSE,316348,237179,Orange
725,Gulistan Terrace,12 P&D / DP,Opposite No. 23,€2.70,Mon-Sun 07.00-24.00,FALSE,315932.8033,231901.9273,Red
729,Harold's Cross Road,58 P&D / DP (Total),Across from Century House,€1.60,Mon-Sat 07.00-19.00,FALSE,314744,231298,Green
730,Sundrive Road,23 P&D,Kimmage opposite Superquinn,€1.00,Mon-Sat 07.00-19.00,FALSE,313911.4915,231313.0931,Orange
731,Conyngham Road,46 P&D + 12 DP (Total),At Riverpark Apartments,€1.60,Mon-Frid 10-16.00 and Sat  08.00-19.00,TRUE,313064,234426,Green
732,Tyrconnell Road,18 P&D / DP,At Balkanic Food & Opposite X-Tra Vision,€0.60,Mon-Sat 07.00-19.00,FALSE,311875,233403,Blue
733,Beechlawn Way,10 P&D / DP,South of Rathfarnham Road,€1.00,Mon-Sat 07.00-19.00,FALSE,314451.6016,230088.5806,Orange
734,Brighton Road,133 P&D / DP (Total),South of WestSide Brighton Square,€1.00,Mon-Sat 07.00-24.00,FALSE,314748.8155,230713.6238,Orange
736,Palmerston Road,112 P&D / DP (Total),House Number 55,€1.60,Mon-Fri 07.00-16.00,FALSE,316088.5105,231068.0827,Green
738,Leicester Avenue,78 P&D / DP,Opposite the Church/at side of church,€1.60,Mon-Sat 11- 17.00,FALSE,315293.9334,231041.7241,Green
741,Maxwell Road,92 P&D / DP,Opposite Number 26,€1.60,Mon-Fri 08.00-18.30,FALSE,315605.2184,231094.4203,Green
742,York Road,105 P&D / DP,At Number 51,€1.60,Mon-Sat 07.00-24.00,FALSE,315661.2177,231216.0811,Green
747,Garville Avenue,70 P&D / DP (Total),No 35,€1.00,Mon-Fri 07.00-19.00,FALSE,314974.503,230832.8345,Orange
748,Garville Avenue,70 P&D / DP (Total),At Flats,€1.00,Mon-Fri 07.00-19.00,FALSE,315224.5744,230872.1198,Orange
749,Healthfield Road,60 P&D / DP,At Number 72,€1.00,Mon-Fri 08.00-18.30,FALSE,314649.9248,230296.3865,Orange
750,Leinster Road West,90 P&D / DP (Total),Opposite Number 1,€2.70,Mon-Sun 07.00-24.00,FALSE,314943.2146,231489.8297,Red
755,Belmont Gardens,35 P&D / DP,South of E'side Belmont Avenue,€2.70,Mon-Sat 07.00-24.00,FALSE,317197.7285,231390.3906,Red
756,Ballyfermot Road,83 P&D (Total),At Bank Of Ireland / Opposite Number 301,€0.60,Mon-Sat 07.00-19.00,FALSE,309664,233694,Blue
759,St. Catherine's Avenue,28 P&D / DP,"At Donore Avenue, Northside",€1.60,Mon-Sat 07.00-24.00,FALSE,314421,232705,Green
760,Ailesbury Drive,40 P&D / DP,Near Anglesea Road,€1.60,Mon-Fri 08.00-18.30,FALSE,317954.8191,231510.057,Green
767,Oaklands Park,82 P&D / DP,At Number 64 / 65,€1.00,Mon-Fri 08.00-18.30,FALSE,318470,232642,Orange
768,Mount Temple Road,40 P&D,Opposite Number 29,€1.60,Mon-Fri 07.00-19.00,FALSE,314258,234834,Green
769,Ailesbury Road,169 P&D / DP (Total),At Number 40A,€1.60,Mon-Fri 07.00-19.00,FALSE,318473.3195,231417.6942,Green
770,New Wapping Street,14 P&D / DP + 1 disabled bay,At Number 2,€2.70,Mon-Sunday 07.00-24.00,FALSE,317578.3957,234625.1656,Red
771,Sandymount Avenue,43 P&D / DP (Total),Opposite Embassy Court / Junction Of Spafield Terrace,€1.60,Mon-Fri 08.00-18.30,FALSE,318434,232181,Green
773,Clanbrassil Terrace,7 P&D / DP,Junction Of Blackpitts,€1.60,Mon-Sat 07.00-24.00,FALSE,314972,233049,Green
774,Le Fanu Road,32 P&D,At William Hill's / Opposite Number 212,€0.60,Mon-Sat 07.00-19.00,FALSE,309507,233621,Blue
775,Ballyfermot Road,83 P&D (Total),At Sofiane's Pizza House (Number 353),€0.60,Mon-Sat 07.00-19.00,FALSE,309427,233696,Blue
777,Clontarf Road,29 P&D / DP (Total),At Number 162,€1.00,Mon-Sat 07.00-19.00,FALSE,319818,235900,Orange
778,Clontarf Road,29 P&D / DP (Total),At Number 201,€1.00,Mon-Sat 07.00-19.00,FALSE,320193,235778,Orange
779,Windsor Terrace,33 P&D / DP,At Number 31,€2.70,Mon-Sun 07.00-24.00,FALSE,314960.1551,232427.5553,Red
780,Hibernian Avenue,14 P&D / DP,East Wall,€1.60,Mon-Sat 07.00-19.00,FALSE,317012.4635,235435.9918,Green
781,Nutley Road,48 P&D / DP,At Number 20,€1.60,Mon-Sat 07.00-19.00,FALSE,318680.6,230961.5278,Green
782,Serpentine Road,23 P&D / DP,At AIB,€1.00,Mon-Fri 07.00-19.00,FALSE,318462.51,232754.6694,Orange
786,Ailesbury Road,169 P&D / DP (Total),At Merrion Court,€1.60,Mon-Fri 07.00-19.00,FALSE,319054.0065,231498.9375,Green
787,Rathmines Road Upper,43 P&D / DP (Total),At Park,€1.60,Mon-Sat 07.00-19.00,FALSE,315682.1808,231041.7241,Green
788,Rathmines Road Upper,43 P&D / DP (Total),At Number 135,€1.60,Mon-Sat 07.00-19.00,FALSE,315656.2751,230952.487,Green
789,Mayfield Road East (Terenure),12 P&D / DP,Side of #18 Terenure Park,€1.00,Mon-Sat 07.00-24.00,FALSE,314344,230361,Orange
793,Tivoli Avenue,8 P&D / DP,At Number 1,€1.60,Mon-Sat 07.00-24.00,FALSE,314703.8342,231438.6735,Green
794,Nutley Park,84 P&D / DP,Opposite Number 38,€1.60,Mon-Sat 07.00-19.00,FALSE,318597.9654,230777.5641,Green
795,Ailesbury Grove,25 P&D / DP,At Number 2,€1.60,Mon-Fri 07.00-19.00,FALSE,318210.1052,231395.4954,Green
796,Temple Street West,9  P&D,Junction with Parkgate Street,€1.00,Mon-Sat 07.00-19.00,FALSE,313937.12,234393.22,Orange
797,Mountpleasant Avenue Lower,43 P&D / DP (Total),At Number 25,€2.70,Mon-Sun 07.00-24.00,FALSE,315855.538,232249.191,Red
799,Terenure Road North,7 P&D (Total),Outside Paddy Powers bookies,€1.00,Mon-Sat 07.00-19.00,FALSE,314472.1926,230268.7513,Orange
800,Bloomfield Avenue (Donnybrook),30 P&D / DP,At Westfield,€2.70,Mon-Fri 08.00-18.30,FALSE,317080.1376,232131.9372,Red
802,Bond Street,12 P&D / DP,Junction Of Robert Street South,€1.60,Mon-Sat 07.00-19.00,FALSE,314184,233628,Green
805,Fitzwilliam Street (Ringsend),6 P&D / DP,Behind Library,€0.60,Mon-Sat 07.00-19.00,FALSE,318170,233785,Blue
810,Kilmore Road,14 P&D / DP,At Number 16,€0.60,Mon-Sat 07.00-19.00,FALSE,319083,238189,Blue
811,Kilmainham Lane,5 P&D / DP,Between 4 & 5,€1.60,Mon-Sun 07.00-24.00,FALSE,312813,233704,Green
812,Cowper Road,46 P&D / DP,At Number 61,€1.60,Mon-Fri 07.00-19.00,FALSE,315875.8836,230877.0546,Green
813,Tower Avenue,13 P&D / DP,At Number 13,€1.00,Mon-Sat 07.00-24.00,FALSE,314736.3526,230495.5225,Orange
814,Annesley Place,18 P&D / DP,At Number 11,€1.60,Mon-Fri 07.00-19.00,FALSE,317183.3011,235805.3937,Green
816,Claremont Road,14 P&D / DP,At Oisín Court,€1.00,Mon-Fri 07.00-19.00,FALSE,318519.9622,232725.1173,Orange
822,Vernon Grove,65 P&D / DP,Opposite No. 1,€1.00,Mon-Fri 07.00-19.00,FALSE,315597.3787,230819.8297,Orange
823,Greenfield Park,25 P&D,At No. 14,€1.00,Mon-Fri 07.00-19.00,FALSE,318364,230605,Orange
826,The Belfry (Inchicore),20 P&D / DP,Junction Of Inchicore Road,€1.00,Mon-Sat 07.00-19.00,FALSE,312254,233732,Orange
827,Ard Rí Road,58 P&D / DP,Junction Of Arbour Hill / Side of Number 29,€1.60,Mon-Fri 07.00-19.00,FALSE,314265,234634,Green
828,Merlyn Park,29 P&D / DP,At Merrion Road,€1.60,Mon-Fri 07.00-19.00,FALSE,318862.6672,231599.5758,Green
829,Cowper Road East,53 P&D / DP,Opposite No. 45,€1.60,Mon-Sat 07.00-19.00,FALSE,316241.6582,230943.3753,Green
