latitude,longitude,altitude,geometry,Meter_Number,Identifier,Location,Area_Ref,Number_of_Paid_Parking_Spaces_,Hours_of_operation,Days_of_operation,Hourly_Tarrif,Restrictions
53.303825086352454,-6.245207753165236,0,Point,628,M628,Olivemount,Olivemount,5,0800 - 1900,Monday to Saturday,1,
53.28991787176575,-6.253547533060815,0,Point,607,M607,Sweetmount Avenue,Dundrum,9,0800 - 1900,Monday to Saturday,1.5,
53.30613338751236,-6.1885160143236,0,Point,930,M930,Seafort Parade,Seafort Parade,32,0800 - 1900,Monday to Friday,1,
53.261988300759946,-6.153285643403987,0,Point,761,M761,Bray Road,Cabinteely,16,0800 - 1900,Monday to Friday,1,
53.26160510366992,-6.1523317485259925,0,Point,762,M762,Bray Road,Cabinteely,10,0800 - 1900,Monday to Friday,1,
53.26142196689742,-6.15149604182188,0,Point,763,M763,Bray Road,Cabinteely,7,0800 - 1900,Monday to Friday,1,
53.26062219448496,-6.149880971641556,0,Point,764,M764,Bray Road,Cabinteely,5,0800 - 1900,Monday to Friday,1,
53.26000390735899,-6.149120766322429,0,Point,766,M766,Bray Road,Cabinteely,14,0800 - 1900,Monday to Friday,1,
53.25951003896006,-6.148631788345113,0,Point,767,M767,Bray Road,Cabinteely,11,0800 - 1900,Monday to Friday,1,
53.259806346672754,-6.149149972367745,0,Point,272,M272,"Bray Road, outside Library",Cabinteely,4,0800 - 1900,Monday to Friday,1,
53.257479002684114,-6.146358980078992,0,Point,769,M769,Bray Road,Cabinteely,29,0800 - 1900,Monday to Friday,1,
53.25853479721267,-6.147926872603025,0,Point,765,M765,Bray Road,Cabinteely,9,0800 - 1900,Monday to Friday,1,
53.262225688388234,-6.153338616036626,0,Point,760,M760,Bray Road,Cabinteely,9,0800 - 1900,Monday to Friday,1,
53.23642022436816,-6.11779567603109,0,Point,330,M330,Shankill Dart Station Car Park,Shankill,72,0800 - 1900,Monday to Friday,1,
53.23643969392483,-6.11747489293165,0,Point,329,M329,Shankill Dart Station Car Park,Shankill,65,0800 - 1900,Monday to Friday,1,
53.30750551429262,-6.197005080470256,0,Point,932,M932,Beech Grove,Booterstown,45,0800 - 1900,Monday to Friday,1,
53.304611012564706,-6.198397129538752,0,Point,935,M935,Booterstown Avenue,Booterstown,22,0800 - 1900,Monday to Friday,1,
53.30684051896109,-6.197148296636572,0,Point,933,M933,Booterstown Avenue,Booterstown,17,0800 - 1900,Monday to Friday,1,
53.30532157487973,-6.197761113136899,0,Point,934,M934,Willow Place (Gleesons Pub),Booterstown,32,0800 - 1900,Monday to Friday,1,
53.309571444125446,-6.198016633864018,0,Point,931,M931,Rock Road,Booterstown,41,0800 - 1900,Monday to Friday,1,
53.31097859736888,-6.204873067965334,0,Point,904,M904,Dornden Park,Trimleston,42,0800 - 1900,Monday to Friday,1,
53.310390681856184,-6.199864907669198,0,Point,905,M905,St. Helen's road,Booterstown,131,0800 - 1900,Monday to Friday,1,
53.27524631953126,-6.102251106649771,0,Point,720,M720,Ardeveen Road,Dalkey,7,0800 - 1900,Monday to Saturday,1.5,Max Charge €5
53.27903609189011,-6.104428491757386,0,Point,46,M46,Carysfort Road,Dalkey,19,0800 - 1900,Monday to Saturday,1.5,Max stay 3 Hours
53.27721040261201,-6.10344704487559,0,Point,704,M704,Castle Street,Dalkey,3,0800 - 1900,Monday to Saturday,1.5,Max stay 3 Hours
53.27764097222814,-6.10474104057979,0,Point,705,M705,Castle Street,Dalkey,6,0800 - 1900,Monday to Saturday,1.5,Max stay 3 Hours
53.278379047084464,-6.107204382369552,0,Point,706,M706,Castle Street,Dalkey,3,0800 - 1900,Monday to Saturday,1.5,Max stay 3 Hours
53.27849728323456,-6.107703535340815,0,Point,707,M707,Castle Street,Dalkey,6,0800 - 1900,Monday to Saturday,1.5,Max stay 3 Hours
53.27729905111055,-6.10288376689083,0,Point,714,M714,Coliemore Road,Dalkey,16,0800 - 1900,Monday to Saturday,1.5,Max stay 3 Hours
53.27796212770657,-6.1028049721344475,0,Point,713,M713,Convent Road,Dalkey,21,0800 - 1900,Monday to Saturday,1.5,Max stay 3 Hours
53.27922207922737,-6.102841464194529,0,Point,51,M51,Corrig Road (2),Dalkey,10,0800 - 1900,Monday to Saturday,1.5,Max stay 3 Hours
53.279930414289105,-6.104197856507995,0,Point,37,M37,Corrig Road (24),Dalkey,12,0800 - 1900,Monday to Saturday,1.5,Max stay 3 Hours
53.27538623268511,-6.104447245238816,0,Point,136,M136,Cunningham Road,Dalkey,5,0800 - 1900,Monday to Saturday,1.5,Max Charge €5
53.28049058757372,-6.109206710948241,0,Point,709,M709,Hyde Road,Dalkey,15,0800 - 1900,Monday to Saturday,1.5,Max stay 3 Hours
53.27993849760701,-6.10900350636814,0,Point,708,M708,Hyde Road (GAA Club),Dalkey,35,0800 - 1900,Monday to Saturday,1.5,Max stay 3 Hours
53.27771363763126,-6.1063320090203375,0,Point,721,M721,Kilbegnet Close,Dalkey,7,0800 - 1900,Monday to Saturday,1.5,Max stay 3 Hours
53.27872847940754,-6.10569912382386,0,Point,41,M41,Ormeau Drive,Dalkey,19,0800 - 1900,Monday to Saturday,1.5,Max stay 3 Hours
53.275895796708284,-6.1034671570476275,0,Point,700,M700,Railway Road,Dalkey,12,0800 - 1900,Monday to Saturday,1.5,Max stay 3 Hours
53.27847699241498,-6.103313730414948,0,Point,701,M701,Saint Patrick's Road,Dalkey,27,0800 - 1900,Monday to Saturday,1.5,Max stay 3 Hours
53.27774313680728,-6.103593260260225,0,Point,702,M702,Saint Patrick's Road,Dalkey,11,0800 - 1900,Monday to Saturday,1.5,Max stay 3 Hours
53.27563106244081,-6.102124582063401,0,Point,128,M128,Sorento Drive,Dalkey,14,0800 - 1900,Monday to Saturday,1.5,Max stay 3 Hours
